 #  Results from PENSHOWER.
 #
 #  Each electron trajectory is separated by a line of "0" and consists of a
 #  header and a list of positions. They are separated by a line of "1".
 #
 #  The header contains the following information about the trajectory:
 #    TRAJ: Index (starting at 1).
 #    KPAR: Type of particle (electron=1, photon=2, positron=3).
 #    PARENT: Index of the parent trajectory (primary=0).
 #    ICOL: Type of collision that created this trajectory (primary=0).
 #    EXIT: Exit type (backscattered=1, transmitted=2, absorbed=3).
 #
 #  Each line after the "1" corresponds to an interaction within the trajectory.
 #  The following information are given:
 #    X, Y, Z: position (in cm).
 #    E: energy (in eV).
 #    WGHT: weight (=1 in analogous mode).
 #    IBODY: index of the body.
 #    ICOL: type of collision.
 #
00000000000000000000000000000000000000000000000000000000000000000000000000000000
TRAJ          1
KPAR          1
PARENT        0
ICOL          0
EXIT          3
11111111111111111111111111111111111111111111111111111111111111111111111111111111
  0.415268E-04  0.155609E-05 -0.510540E-04  0.836053E+04  0.100000E+01    1    5
  0.427200E-04 -0.860453E-06 -0.507801E-04  0.820860E+04  0.100000E+01    1    1
  0.454044E-04 -0.459740E-05 -0.515318E-04  0.820860E+04  0.100000E+01    1    5
  0.454168E-04 -0.461471E-05 -0.515352E-04  0.816913E+04  0.100000E+01    1    1
  0.468477E-04 -0.641062E-05 -0.523228E-04  0.816913E+04  0.100000E+01    1    2
  0.494403E-04 -0.828112E-05 -0.537029E-04  0.802943E+04  0.100000E+01    1    1
  0.500962E-04 -0.870674E-05 -0.539385E-04  0.802943E+04  0.100000E+01    1    2
  0.515542E-04 -0.993629E-05 -0.552144E-04  0.802943E+04  0.100000E+01    1    1
  0.516989E-04 -0.100563E-04 -0.553453E-04  0.802943E+04  0.100000E+01    1    2
  0.535191E-04 -0.101359E-04 -0.570151E-04  0.794168E+04  0.100000E+01    1    1
  0.548049E-04 -0.990604E-05 -0.579562E-04  0.781017E+04  0.100000E+01    1    3
  0.578147E-04 -0.922786E-05 -0.596477E-04  0.771450E+04  0.100000E+01    1    1
  0.581726E-04 -0.917589E-05 -0.597489E-04  0.771450E+04  0.100000E+01    1    5
  0.586416E-04 -0.910777E-05 -0.598815E-04  0.771450E+04  0.100000E+01    1    1
  0.592182E-04 -0.908142E-05 -0.600835E-04  0.725815E+04  0.100000E+01    1    3
  0.601550E-04 -0.902404E-05 -0.601703E-04  0.725815E+04  0.100000E+01    1    1
  0.605676E-04 -0.895243E-05 -0.602405E-04  0.709100E+04  0.100000E+01    1    3
