#binned energy for each solid angle. Contains the energy going through the solid angle of the bin
            phi           theta          energy
           -111             130               0
           -111             134               0
           -111             138               0
           -111             142               0
           -111             146               0
           -111             150               0
           -111             154               0
           -111             158               0
           -111             162               0
           -111             166               0
           -111             170               0
           -111             174               0
           -111             178               0
           -105               2               0
           -105               6               0
           -105              10               0
           -105              14               0
           -105              18               0
           -105              22               0
           -105              26               0
           -105              30         27.1252
           -105              34               0
           -105              38               0
           -105              42               0
           -105              46               0
           -105              50               0
           -105              54               0
           -105              58               0
           -105              62               0
           -105              66               0
           -105              70               0
           -105              74               0
           -105              78               0
           -105              82               0
           -105              86               0
           -105              90               0
           -105              94               0
           -105              98               0
           -105             102               0
           -105             106               0
           -105             110               0
           -105             114               0
           -105             118               0
           -105             122               0
           -105             126               0
           -105             130               0
           -105             134               0
           -105             138               0
           -105             142               0
           -105             146               0
           -105             150               0
           -105             154               0
           -105             158               0
           -105             162               0
           -105             166               0
           -105             170               0
           -105             174               0
           -105             178               0
            -99               2               0
            -99               6               0
            -99              10               0
            -99              14               0
            -99              18               0
            -99              22               0
            -99              26               0
            -99              30               0
            -99              34               0
            -99              38               0
            -99              42               0
            -99              46               0
            -99              50               0
            -99              54               0
            -99              58               0
            -99              62               0
            -99              66               0
            -99              70               0
            -99              74               0
            -99              78               0
            -99              82               0
            -99              86               0
            -99              90               0
            -99              94               0
            -99              98               0
            -99             102               0
            -99             106               0
            -99             110               0
            -99             114               0
            -99             118               0
            -99             122               0
            -99             126               0
            -99             130               0
            -99             134               0
            -99             138               0
            -99             142               0
            -99             146               0
            -99             150               0
            -99             154               0
            -99             158               0
            -99             162               0
            -99             166               0
            -99             170               0
            -99             174               0
            -99             178               0
            -93               2               0
            -93               6               0
            -93              10               0
            -93              14               0
            -93              18               0
            -93              22               0
            -93              26               0
            -93              30               0
            -93              34               0
            -93              38               0
            -93              42               0
            -93              46               0
            -93              50               0
            -93              54               0
            -93              58               0
            -93              62               0
            -93              66               0
            -93              70               0
            -93              74               0
            -93              78               0
            -93              82               0
            -93              86               0
            -93              90               0
            -93              94               0
            -93              98               0
            -93             102               0
            -93             106               0
            -93             110               0
            -93             114               0
            -93             118               0
            -93             122               0
            -93             126               0
            -93             130               0
            -93             134               0
            -93             138               0
            -93             142               0
            -93             146               0
            -93             150               0
            -93             154               0
            -93             158               0
            -93             162               0
            -93             166               0
            -93             170               0
            -93             174               0
            -93             178               0
            -87               2               0
            -87               6               0
            -87              10               0
            -87              14               0
            -87              18               0
            -87              22               0
            -87              26               0
            -87              30               0
            -87              34               0
            -87              38               0
            -87              42               0
            -87              46               0
            -87              50               0
            -87              54               0
            -87              58               0
            -87              62               0
            -87              66               0
            -87              70               0
            -87              74               0
            -87              78               0
            -87              82               0
            -87              86               0
            -87              90               0
            -87              94               0
            -87              98               0
            -87             102               0
            -87             106               0
            -87             110               0
            -87             114               0
            -87             118               0
            -87             122               0
            -87             126               0
            -87             130               0
            -87             134               0
            -87             138               0
            -87             142               0
            -87             146               0
            -87             150               0
            -87             154               0
            -87             158               0
            -87             162               0
            -87             166               0
            -87             170               0
            -87             174               0
            -87             178               0
            -81               2               0
            -81               6               0
            -81              10               0
            -81              14               0
            -81              18               0
            -81              22               0
